NO,NAMA PENGINAPAN,BINTANG/NON BINTANG,GOLONGAN,JUMLAH KAMAR,ALAMAT,Latitude,Longitude,X,Y,,,,,,,,,,,,,,,,
319,La Javanaise Homestay,Non Bintang,Akomodasi Lain,8,Sosrowijayan Wetan GT 1/168,-7.791143799,110.3639235,429868.2733,9138738.639,,,,,,,,,,,,,,,,
320,Laksmita Homestay,Non Bintang,Pondok Wisata,3,Jl. Bantul 60 B,-7.817689899,110.3556356,428958.9263,9135802.39,,,,,,,,,,,,,,,,
321,Laras Hati Hotel,Non Bintang,Melati,10,Sosrokusuman DN I/182,-7.79336751,110.3672328,430233.5363,9138493.34,,,,,,,,,,,,,,,,
322,Larasati Harsono Penginapan,Non Bintang,Pondok Wisata,12,Jl. Mangkuyudan No. 64,-7.82186613,110.3669611,430208.3092,9135342.571,,,,,,,,,,,,,,,,
323,Larrisa Losmen Sukir,Non Bintang,Pondok Wisata,3,Sosrowijayan GT 1/106,-7.788179974,110.3630336,429769.6616,9139066.163,,,,,,,,,,,,,,,,
324,Lasmanos Hostel,Non Bintang,Akomodasi Lain,7,Tirtodipuran Gang Lesmana No. 99,-7.817555779,110.3658559,430085.735,9135818.928,,,,,,,,,,,,,,,,
325,Latifah Home Stay,Non Bintang,Pondok Wisata,1,Dipoyudan NG I No. 567 Ngampilan,-7.796227412,110.3588949,429314.676,9138175.772,,,,,,,,,,,,,,,,
326,Lauras Backpacker,Non Bintang,Melati,3,Tukangan DN 2/523 Gang Hansip Karno Waluyo,-7.790705868,110.3711172,430661.3926,9138788.243,,,,,,,,,,,,,,,,
327,Laxston Hotel,Bintang,Bintang Dua,42,Jl. Magelang No. 31,-7.779991073,110.360646,429505.0298,9139971.107,,,,,,,,,,,,,,,,
328,Le Krasak Boutique Hotel,Non Bintang,Melati,24,Jl. Kasak No. 9 Kotabaru,-7.788547597,110.3727241,430838.2168,9139027.118,,,,,,,,,,,,,,,,
329,Lestari Penginapan,Non Bintang,Pondok Wisata,6,Sosrowijayan Kulon GT I/171,-7.79135479,110.3637098,429844.7454,9138715.277,,,,,,,,,,,,,,,,
330,Lia Homestay,Non Bintang,Pondok Wisata,5,Danunegaran MJ III/1075,-7.816801882,110.3656889,430067.1924,9135902.249,,,,,,,,,,,,,,,,
331,Lilik Hotel,Bintang,Bintang Satu,40,Jl. Dagen No. 16,-7.793572529,110.3643735,429918.3025,9138470.201,,,,,,,,,,,,,,,,
332,Limaran 2 Hotel,Non Bintang,Melati,3,Sagan GK V/804,-7.779010862,110.3771905,431329.1386,9140082.196,,,,,,,,,,,,,,,,
333,Limaran Hotel,Non Bintang,Melati,23,Jl. Suryotomo No. 1,-7.801136374,110.3688391,430411.9282,9137634.703,,,,,,,,,,,,,,,,
334,Lina Guest House,Non Bintang,Melati,15,Dagen No. 507,-7.793975841,110.364765,429961.5348,9138425.677,,,,,,,,,,,,,,,,
335,Lintring Coffee and Homestay,Non Bintang,Pondok Wisata,6,Prof Dr. Soepomo No. 30,-7.804928294,110.3902766,432776.1987,9137218.956,,,,,,,,,,,,,,,,
336,Loka Wisata Hotel,Non Bintang,Melati,19,Jl. Nyi Retno Dumilah No. 38,-7.814747752,110.3982917,433661.4649,9136134.62,,,,,,,,,,,,,,,,
337,Lolita Hadi Losmen,Non Bintang,Melati,3,Sosrowijayan Wetan GT 1/59,-7.788212767,110.3624774,429708.342,9139062.445,,,,,,,,,,,,,,,,
338,Londres Bed & Breakfast,Non Bintang,Akomodasi Lain,10,Babaran No. 71,-7.81154558,110.3880611,432532.9797,9136487.017,,,,,,,,,,,,,,,,
339,Losmen 2000 Tiga Harum I ,Non Bintang,Melati,100,Jl. Sosrokusuman DN I No. 174,-7.7940144,110.3669639,430203.9895,9138421.778,,,,,,,,,,,,,,,,
340,Losmen Dimas,Non Bintang,Akomodasi Lain,15,Sosrowijayan Wetan GT I/138,-7.791196755,110.3651374,430002.1362,9138732.986,,,,,,,,,,,,,,,,
341,Losmen Fadel,Non Bintang,Akomodasi Lain,12,Sosrowijayan GT I/135,-7.791052658,110.3639466,429870.813,9138748.719,,,,,,,,,,,,,,,,
342,Losmen Famili ,Non Bintang,Melati,25,Dagen No. 14,-7.793476234,110.364526,429935.0965,9138480.872,,,,,,,,,,,,,,,,
343,Lotus Losmen,Non Bintang,Melati,8,Sosrowijayan Wetan GT I/167,-7.790896149,110.3639069,429866.4049,9138766.016,,,,,,,,,,,,,,,,
344,Lucy 1 Losmen,Non Bintang,Akomodasi Lain,7,Sosrowijayan Wetan 81,-7.79048159,110.3652818,430017.938,9138812.076,,,,,,,,,,,,,,,,
345,Lucy 2 Losmen,Non Bintang,Melati,7,Sosrowijayan Wetan GT 1/87,-7.79096511,110.3652914,430019.0733,9138758.621,,,,,,,,,,,,,,,,
346,Lumayan Penginapan,Non Bintang,Akomodasi Lain,4,Sosrowijayan Kulon GT I/172,-7.79101992,110.3632831,429797.6429,9138752.229,,,,,,,,,,,,,,,,
347,Lynn Hotel By Horison Yogyakarta,Bintang,Bintang Tiga,112,Jl. Jogokariyan No. 82,-7.824252313,110.3668958,430201.4986,9135078.751,,,,,,,,,,,,,,,,
348,Madani Syariah Hotel,Non Bintang,Melati,18,Jl. Cantel Baru II No 1A,-7.79528056,110.3876575,432485.871,9138285.158,,,,,,,,,,,,,,,,
349,Madukoro Hotel,Non Bintang,Melati,30,Jl. Taman Siswa No. 117,-7.812122563,110.3768946,431301.907,9136421.424,,,,,,,,,,,,,,,,
350,Madumurti 33,Non Bintang,Akomodasi Lain,6,Madumurti No. 33,-7.81150108,110.3470556,428011.8828,9136485.154,,,,,,,,,,,,,,,,
351,Maerakaca Hotel,Non Bintang,Melati,22,Jl. RW. Monginsidi No. 22,-7.778181902,110.3633715,429805.2616,9140171.577,,,,,,,,,,,,,,,,
352,Maharani Guest House,Non Bintang,Melati,8,Gg. Sartono MJ 3 No. 811,-7.815308782,110.365655,430063.2087,9136067.316,,,,,,,,,,,,,,,,
353,Makuta Guest House,Non Bintang,Melati,18,Prawirataman 2 No. 839,-7.820185217,110.3708663,430638.5914,9135529.054,,,,,,,,,,,,,,,,
354,Malioboro Garden Hotel,Non Bintang,Melati,32,Sosrokusuman DN I/163,-7.79400103,110.3667741,430183.0599,9138423.224,,,,,,,,,,,,,,,,
355,Malioboro Home Stay,Non Bintang,Pondok Wisata,7,Sosromenduran GT I/310 A,-7.792661671,110.3655725,430050.3455,9138571.101,,,,,,,,,,,,,,,,
356,Malioboro Inn Hotel,Bintang,Bintang Satu,52,Jl. Sosrowijayan No. 23-25,-7.791754238,110.3642482,429904.1833,9138671.205,,,,,,,,,,,,,,,,
357,Malioboro Palace Hotel,Non Bintang,Melati,51,Jl. Sosrowijayan No. 3-5,-7.791810535,110.3654027,430031.4823,9138665.172,,,,,,,,,,,,,,,,
358,Manthili Hotel,Non Bintang,Melati,20,Jl. Sorosutan 6A,-7.81675387,110.3778928,431412.7228,9135909.564,,,,,,,,,,,,,,,,
359,Manunggal Penginapan,Non Bintang,Melati,10,Jl. Nitikan Baru No 2,-7.816731278,110.3832141,431999.408,9135912.924,,,,,,,,,,,,,,,,
360,Maranatha hotel,Non Bintang,Melati,29,Jl. Dagen No 76,-7.79320491,110.3617438,429628.2903,9138510.406,,,,,,,,,,,,,,,,
361,Martha Wisma,Non Bintang,Melati,25,Jl. Rejowinangun No. 15A,-7.81018862,110.4007818,433935.286,9136639.052,,,,,,,,,,,,,,,,
362,Mas Gun Guet House,Non Bintang,Pondok Wisata,9,Jl. Prawirotaman No 36,-7.818882313,110.3712623,430682.0291,9135673.164,,,,,,,,,,,,,,,,
363,Masjid Jogokariyan Penginapan,Non Bintang,Akomodasi Lain,11,Jl. Jogokariyan No. 36,-7.824085544,110.3644816,429935.2994,9135096.787,,,,,,,,,,,,,,,,
364,Masrilinks 2 Wisma,Non Bintang,Akomodasi Lain,10,Suryodiningratan MJ II/915,-7.817371706,110.3592632,429358.8349,9135838.179,,,,,,,,,,,,,,,,
365,Matahari Hotel,Bintang,Bintang Dua,70,Jl. Parangtritis No. 123,-7.821739437,110.3681855,430343.2791,9135356.781,,,,,,,,,,,,,,,,
366,Mataram hotel,Non Bintang,Melati,19,Jl. Pasar Kembang No. 61A,-7.789957036,110.3627432,429737.9382,9138869.648,,,,,,,,,,,,,,,,
367,Mataram II Hotel,Non Bintang,Melati,19,Jl. Kemetiran Lor No. 13,-7.79133925,110.3605061,429491.509,9138716.462,,,,,,,,,,,,,,,,
368,Maturnuwun Homestay,Non Bintang,Akomodasi Lain,4,Sartono No. 828,-7.819565687,110.3664244,430148.7473,9135596.813,,,,,,,,,,,,,,,,
369,Mawar Asri Hotel,Non Bintang,Melati,41,Jl. H. Agus Salim No. 40,-7.804028564,110.3588186,429307.5717,9137313.285,,,,,,,,,,,,,,,,
370,Mawar Herlina Losmen,Non Bintang,Akomodasi Lain,8,Sosrowijayan Wetan GT 1/136,-7.790369628,110.3640688,429884.1716,9138824.253,,,,,,,,,,,,,,,,
371,Mawar Saron Hotel,Non Bintang,Melati,17,Kepuh GK III/1055,-7.781396678,110.3858348,432282.6748,9139819.821,,,,,,,,,,,,,,,,
372,Melati Wisma,Non Bintang,Melati,24,Jl. Pakel Baru No. 34 A,-7.816196511,110.3808496,431738.632,9135971.664,,,,,,,,,,,,,,,,
373,Melia Purosani Hotel,Bintang,Bintang Lima,280,Jl. Suryotomo No. 31,-7.797082042,110.3691284,430443.1562,9138082.985,,,,,,,,,,,,,,,,
374,Mentari Homestay,Non Bintang,Akomodasi Lain,4,Sosrowijayan Wetan GT II/67 RT 08/RW 02,-7.787949631,110.3634628,429816.9462,9139091.701,,,,,,,,,,,,,,,,
375,Merapi Hotel,Non Bintang,Melati,14,Sosrowijayan Wetan GTI/155,-7.787776672,110.3619178,429646.5624,9139110.566,,,,,,,,,,,,,,,,
376,Merbabu Hotel,Non Bintang,Melati,19,Sosrowijayan GT 1/32,-7.788113948,110.3636343,429835.8904,9139073.563,,,,,,,,,,,,,,,,
377,Mercury Green Guest House,Non Bintang,Akomodasi Lain,13,Jl. Gerilya MG 3/595,-7.819531555,110.369042,430437.3385,9135601.02,,,,,,,,,,,,,,,,
378,Metro Guest House,Non Bintang,Melati,47,Prawirotaman No 606,-7.819740784,110.3707307,430623.563,9135578.166,,,,,,,,,,,,,,,,
379,Metro Malioboro Hiving,Non Bintang,Akomodasi Lain,28,Ronodigdayan 16,-7.79346724,110.3741206,430993.0026,9138483.446,,,,,,,,,,,,,,,,
380,Minto Penginapan,Non Bintang,Akomodasi Lain,3,Sosrowijayan Kulon GT I/228,-7.791418569,110.3637419,429848.3049,9138708.231,,,,,,,,,,,,,,,,
381,Mitra Hotel,Non Bintang,Melati,27,Jl. KH. A. Dahlan No. 9,-7.801286404,110.3638184,429858.3817,9137617.285,,,,,,,,,,,,,,,,
382,Mitu 1 Homestay 610,Non Bintang,Vila,3,Pageran Timur 610,-7.816803541,110.3591093,429341.7643,9135900.968,,,,,,,,,,,,,,,,
383,Mitu 2 Homestay 609,Non Bintang,Vila,3,Pugeran Timur No. 609,-7.816803541,110.3591093,429341.7643,9135900.968,,,,,,,,,,,,,,,,
384,Monginsidi Guest House,Non Bintang,Pondok Wisata,8,Jl. Monginsidi No. 7 Jetis,-7.777861592,110.3659666,430091.3464,9140207.418,,,,,,,,,,,,,,,,
385,Monica Hotel,Non Bintang,Melati,20,Jl. Sosrowijayan Wetan GT I/192,-7.790210721,110.3632872,429797.9603,9138841.692,,,,,,,,,,,,,,,,
386,Mulia Kencana Hotel,Non Bintang,Melati,17,Jl. Pasar Kembang No. 15,-7.789942498,110.3651111,429999.026,9138871.648,,,,,,,,,,,,,,,,
387,Mulia Widiastuti Wisma,Non Bintang,Melati,9,Matrijeron MJ3/810,-7.770495483,110.3778734,431403.052,9141023.739,,,,,,,,,,,,,,,,
388,Muria Hotel,Non Bintang,Melati,15,Jl. Prawirotaman 2 No. 600,-7.820018455,110.3690338,430436.5196,9135547.188,,,,,,,,,,,,,,,,
389,Musafira Hotel,Non Bintang,Melati,35,Jl. Surokarsan No. 15,-7.803971299,110.3770172,431314.0928,9137322.622,,,,,,,,,,,,,,,,
390,Museum Batik Hotel,Non Bintang,Melati,20,Jl. Dr. Sutomo No. 13,-7.795484298,110.3772539,431338.813,9138260.957,,,,,,,,,,,,,,,,
391,Mutiara Hotel,Bintang,Bintang Tiga,119,Jl. Malioboro No. 18,-7.794205181,110.3658859,430085.1654,9138400.507,,,,,,,,,,,,,,,,
392,Nagari Hotel,Bintang,Bintang Tiga,46,Jl. Letjend Suprapto,-7.798458513,110.356326,429031.8054,9137928.676,,,,,,,,,,,,,,,,
393,Nanda Ananda R P Wisma,Non Bintang,Melati,18,Ngadinegaran MJ3/72,-7.815881623,110.3639916,429879.9041,9136003.708,,,,,,,,,,,,,,,,
394,Nap Inap Homestay,Non Bintang,Pondok Wisata,4,Timuran No. 84,-7.817494041,110.3696624,430505.4023,9135826.384,,,,,,,,,,,,,,,,
395,Nayotama Homestay,Non Bintang,Akomodasi Lain,7,Pandeyan No. 7 Kalangan Umulharjo,-7.812843151,110.3867322,432386.6669,9136343.349,,,,,,,,,,,,,,,,
396,Ndalem Eyang Dwijo,Non Bintang,Pondok Wisata,10,Cantel GK IV/341,-7.792232169,110.388048,432528.4407,9138622.24,,,,,,,,,,,,,,,,
397,Ndalem Eyang Homestay,Non Bintang,Melati,20,Kemetiran Kidul GT 2/813,-7.79304621,110.3590207,429328.0084,9138527.497,,,,,,,,,,,,,,,,
398,Ndalem Ibu,Non Bintang,Akomodasi Lain,5,Kelurahan No. 216 RT 55/RW 02,-7.770744041,110.3639128,429863.7138,9140993.974,,,,,,,,,,,,,,,,
399,Ndalem Kemetiran,Non Bintang,Pondok Wisata,5,Kemetiran GT 2/671 RT 02/RW 14,-7.792203536,110.3608651,,,,,,,,,,,,,,,,,,
400,Ndalem Kotabaru Guest House,Non Bintang,Akomodasi Lain,14,Jl. Yos Sudarso No 29,-7.788199527,110.3731617,,,,,,,,,,,,,,,,,,
401,Ndalem Maharani Guest House,Non Bintang,Pondok Wisata,10,Jl. Sawojajar No 6,-7.805479138,110.36729,,,,,,,,,,,,,,,,,,
402,Ndalem Mantrijeron Hotel,Non Bintang,Melati,15,Jl. Sartono MJ III/815,-7.819683382,110.3671664,,,,,,,,,,,,,,,,,,
403,Ndalem MJ Homestay,Non Bintang,Akomodasi Lain,10,Surami MJ III/853,-7.820293363,110.3658498,,,,,,,,,,,,,,,,,,
404,Ndalem Ngabean,Non Bintang,Akomodasi Lain,9,Ngadisuryan No 6 Panembahan,-7.809874999,110.3623374,,,,,,,,,,,,,,,,,,
405,Ndalem Ngadiwinatan Homestay,Non Bintang,Pondok Wisata,4,Ngadiwinatan NG 1/1289,-7.799873101,110.3607145,,,,,,,,,,,,,,,,,,
406,Ndalem Panembahan 12 Guest House,Non Bintang,Pondok Wisata,6,Mangunnegaran Kidul No 12 Panembahan,-7.80613055,110.3679062,,,,,,,,,,,,,,,,,,
407,Ndalem Pathuk Homestay Udi,Non Bintang,Pondok Wisata,3,Patuk Dipoyudan NG 1/551,-7.795741643,110.3592713,,,,,,,,,,,,,,,,,,
408,Ndalem Soeratin Guest House,Non Bintang,Akomodasi Lain,10,A.M. Sangaji No 68,-7.774606181,110.3683096,,,,,,,,,,,,,,,,,,
409,Ndalem Suwondo Homestay,Non Bintang,Vila,5,Cokrodingratan JT II/100 RT 11/RW 03,-7.780306874,110.3665209,,,,,,,,,,,,,,,,,,
410,Ndalem Timoho Homestay/Omah Timoho Homestay,Non Bintang,Pondok Wisata,7,"Jl. Kusuma, Gendeng GK 4/904",-7.79289732,110.3914726,,,,,,,,,,,,,,,,,,
411,Nendra Wisma,Non Bintang,Melati,15,Jl. Dagen No. 50,-7.793446301,110.3633484,,,,,,,,,,,,,,,,,,
412,Neneng Penginapan,Non Bintang,Akomodasi Lain,8,Sosrowijayan Kulon GT I/216,-7.791209857,110.3632554,,,,,,,,,,,,,,,,,,
413,Neo Awana Hotel,Bintang,Bintang Tiga,296,Jl. Mayjend Sutoyo 52,-7.815159014,110.3655019,,,,,,,,,,,,,,,,,,
414,Neo Malioboro Hotel,Bintang,Bintang Tiga,154,Jl. Pasar Kembang No 21,-7.789820259,110.3646296,,,,,,,,,,,,,,,,,,
415,New Emilia Malioboro,Non Bintang,Melati,33,Dagen GT I/442 RT 23/RW 05,-7.793078231,110.362407,,,,,,,,,,,,,,,,,,
416,New Saphir Hotel Yogyakarta,Bintang,Bintang Empat,,Jl. Laksda Adi Sucipto No. 38 RT 013/RW 04,-7.783273305,110.391496,,,,,,,,,,,,,,,,,,
417,Nextdoor Homestay,Non Bintang,Pondok Wisata,10,Timuran No 140,-7.816853957,110.3691261,,,,,,,,,,,,,,,,,,
418,Ngampilan Backpacker,Non Bintang,Pondok Wisata,6,Jl. Letjend Suprapto NG1/220 RT 10/RW 02,-7.799467205,110.3558314,,,,,,,,,,,,,,,,,,
419,Nidia Hotel,Non Bintang,Melati,12,Jl. Mangkuyudan No. 59,-7.821708121,110.3670872,,,,,,,,,,,,,,,,,,
420,Nirwana Hotel,Non Bintang,Melati,19,Jl. Taman Siswa No. 9,-7.802646807,110.3787838,,,,,,,,,,,,,,,,,,
421,Novatel Hotel,Non Bintang,Melati,20,Jl. KH Wachid Hasyim No 61,-7.804996126,110.3563729,,,,,,,,,,,,,,,,,,
422,Novi/Suwarno Penginapan,Non Bintang,akomodasi Lain,4,Sosrowijayan Kulon GT I/212,-7.7910823,110.3632876,,,,,,,,,,,,,,,,,,
423,Novotel Hotel,Bintang,Bintang Empat,202,Jl. Jendral Sudirman No. 89,-7.782464105,110.3776149,,,,,,,,,,,,,,,,,,
424,Novotel Suite,Bintang,Bintang Empat,147,Jl. Malioboro No. 52 - 58,-7.792705222,110.3661711,,,,,,,,,,,,,,,,,,
425,Nueve Jogja Hotel,Bintang,Bintang Dua,61,Jl. Mataram No. 9,-7.79574801,110.3689439,,,,,,,,,,,,,,,,,,
426,Nugraha Hotel,Non Bintang,Melati,22,Jl. Ki Ageng Pemanah no. 9 Wirosaban,-7.825544265,110.3790793,,,,,,,,,,,,,,,,,,
427,Nugraha Wisma,Non Bintang,Melati,40,Mantrijeron MJ 3/813,-7.8192373,110.3531888,,,,,,,,,,,,,,,,,,
428,Nuri Losmen,Non Bintang,Melati,12,Sosrowijayan Wetan GT 1 No. 77,-7.791308902,110.3645136,,,,,,,,,,,,,,,,,,
429,Nusantara Hotel,Non Bintang,Melati,21,Jl. Pasar Kembang No. 59,-7.789855629,110.3629432,,,,,,,,,,,,,,,,,,
430,Nusantara Wisma,Non Bintang,Melati,14,Jl. Bugisan No. 48,-7.810487134,110.3499007,,,,,,,,,,,,,,,,,,
431,Oase Hotel,Non Bintang,akomodasi Lain,12,Timuran No. 146,-7.817273503,110.3692922,,,,,,,,,,,,,,,,,,
432,Oke Baik Hotel,Non Bintang,akomodasi Lain,10,Prawirotaman MG III/566,-7.8182462,110.3720156,,,,,,,,,,,,,,,,,,
433,Olympic Hotel,Non Bintang,Melati,93,Jl. Sisingamangaraja No. 21B,-7.82170246,110.3734517,,,,,,,,,,,,,,,,,,
434,Omah Bagyo Homestay/Eastation,Non Bintang,Pondok Wisata,2,Juminahan DN 2 1005,-7.794536927,110.3705405,,,,,,,,,,,,,,,,,,
435,Omah Bumi Homestay,Non Bintang,Pondok Wisata,5,Golo No. 10,-7.81288425,110.3812221,,,,,,,,,,,,,,,,,,
436,Omah Cilik Homestay,Non Bintang,Pondok Wisata,3,Purwokinanti PA 1/350 RT 027/RW005,-7.799302697,110.3739045,,,,,,,,,,,,,,,,,,
437,Omah Eling Penginapan,Non Bintang,akomodasi Lain,14,Suryowijayan No. 22,-7.811289558,110.3557955,,,,,,,,,,,,,,,,,,
438,Omah Gedong Kuning Syariah Homestay,Non Bintang,akomodasi Lain,9,Kusumanegara GG Ganesha KG 1/27,-7.801610483,110.3849186,,,,,,,,,,,,,,,,,,
439,Omah Konco Homestay,Non Bintang,akomodasi Lain,4,Magangan Kulon No. 2,-7.807178919,110.3629512,,,,,,,,,,,,,,,,,,
440,Omah Kulon,Non Bintang,akomodasi Lain,6,Poncowolo No. 24,-7.80578792,110.3459739,,,,,,,,,,,,,,,,,,
441,Omah Lawas Homestay,Non Bintang,Melati,5,Prawirotaman MG III/649,-7.820628934,110.368309,,,,,,,,,,,,,,,,,,
442,Omah Lawas Supriyanto,Non Bintang,Melati,3,Sosrowijayan Wetan GT 1/85A,-7.791003981,110.3633099,,,,,,,,,,,,,,,,,,
443,Omah Mburi Penginapan,Non Bintang,Melati,7,Tukangan Gang Hansip Karno Waloyo Tegalpanggung DN 2/673,-7.790964679,110.3719427,,,,,,,,,,,,,,,,,,
444,Omah Ndelik Sayidan,Non Bintang,Pondok Wisata,3,Gondomanan II/190 RT18/RW06,-7.802659536,110.3706566,,,,,,,,,,,,,,,,,,
445,Omah Pari Hotel,Non Bintang,Melati,17,Jl. Nakulo No. 34,-7.804853626,110.347791,,,,,,,,,,,,,,,,,,
446,Omah Putih Homestay,Non Bintang,Pondok Wisata,3,Jogokaryan No. 68,-7.824077149,110.3658773,,,,,,,,,,,,,,,,,,
447,Omah Qu Guest House,Non Bintang,Melati,8,Jl. Bausasran No. 34,-7.796918833,110.3748909,,,,,,,,,,,,,,,,,,
448,Omah Ratu Homestay,Non Bintang,akomodasi Lain,90,Sukanandi No. 19,-7.797970922,110.3816386,,,,,,,,,,,,,,,,,,
449,Omah Semar Homestay,Non Bintang,Pondok Wisata,14,Jl. Argolobang no. 22 RT 27/RW 07 ,-7.789593954,110.3803496,,,,,,,,,,,,,,,,,,
450,Omah Sorsawo homestay,Non Bintang,akomodasi Lain,10,Joyonegaran MG II/893,-7.806843468,110.3783967,,,,,,,,,,,,,,,,,,
451,Omah uti,Non Bintang,Pondok Wisata,3,Sayidan GM II No. 54 RT18/RW06,-7.801069758,110.3712069,,,,,,,,,,,,,,,,,,
452,Omahe Bagus Homestay,Non Bintang,Pondok Wisata,7,Jagalan Ledok Sari PA I No 41,-7.797730893,110.3704042,,,,,,,,,,,,,,,,,,
453,Orlen Hotel,Bintang,Bintang Satu,33,Jl. C Simnajuntak No. 2,-7.780580833,110.3733452,,,,,,,,,,,,,,,,,,
454,Oryza Hotel,Non Bintang,Melati,15,Jl. Sosrowijayan No. 49 - 51,-7.791512889,110.3627182,,,,,,,,,,,,,,,,,,
455,Otu Hostel,Non Bintang,akomodasi Lain,5,Prawirotaman 1 Gang Gringsing No 517,-7.818024561,110.3703629,,,,,,,,,,,,,,,,,,
456,Pakuncen Malioboro Guesthouse Syariah,Non Bintang,akomodasi Lain,16,Hos Cokroaminoto No. 44,-7.793413009,110.3528706,,,,,,,,,,,,,,,,,,
457,Pakuning Hotel,Non Bintang,Melati,19,Jl. Pakuningratan No 01,-7.780824384,110.3668115,,,,,,,,,,,,,,,,,,
458,Palem Kipas Homestay,Non Bintang,Pondok Wisata,3,Gang Kenanga MJ 3/59 Ngadinegaran,-7.815740056,110.3651107,,,,,,,,,,,,,,,,,,
459,Pamularsih Homestay,Non Bintang,Pondok Wisata,6,Jl. Pamularsih No. 5,-7.80864474,110.3486918,,,,,,,,,,,,,,,,,,
460,Pan Family Hotel,Non Bintang,Melati,5,Jl. Tamansiswa No. 150 F,-7.812842813,110.3755245,,,,,,,,,,,,,,,,,,
461,Panca Dewi Guest House,Non Bintang,akomodasi Lain,7,Mas Suharto No. 36,-7.793341701,110.3714649,,,,,,,,,,,,,,,,,,
462,Pandanaran Hotel,Bintang,Bintang Tiga,118,Jl. Prawirotaman No. 38,-7.819323507,110.3723881,,,,,,,,,,,,,,,,,,
463,Panorama Hotel,Non Bintang,Melati,17,Jl. Sultan Agung No. 95,-7.801403383,110.3783916,,,,,,,,,,,,,,,,,,
464,Pantes hotel,Non Bintang,Melati,19,Sosrokusuman DN 1/142,-7.794304169,110.3659485,,,,,,,,,,,,,,,,,,
465,Paramita Hotel,Non Bintang,Melati,18,Kepuh GK III/936 RT49/RW 13,-7.780736043,110.3866993,,,,,,,,,,,,,,,,,,
466,Parikesit Guesthouse,Non Bintang,Melati,14,Jl. Prawirotaman No. 32,-7.819125362,110.3717144,,,,,,,,,,,,,,,,,,
467,Pasha Homestay,Non Bintang,akomodasi Lain,2,Pasar Kembang No. 29 RT 13/RW 02,-7.789741439,110.3642443,,,,,,,,,,,,,,,,,,
468,Pawon Coklat Guesthouse,Non Bintang,Melati,10,Sosrowijayan Wetan GT 1 no. 102,-7.790360678,110.3654016,,,,,,,,,,,,,,,,,,
469,Pego Homestay Agus,Non Bintang,Pondok Wisata,5,Sosrowijayan Wetan GT 1/75,-7.791230811,110.3641896,,,,,,,,,,,,,,,,,,
470,Pelangi Hotel,Non Bintang,Melati,28,Jl. Wakhid Hasyim No. 99,-7.80661199,110.3562257,,,,,,,,,,,,,,,,,,
471,Pendopo Andari,Non Bintang,Pondok Wisata,6,Yudonegaran GM II No. 232,-7.802731889,110.3682059,,,,,,,,,,,,,,,,,,
472,D'santoso Penginapan,Non Bintang,Pondok Wisata,5,Mataram GG Erwinasis DN 1/ No 267,-7.795372273,110.3693394,,,,,,,,,,,,,,,,,,
473,Mawar Putih Penginapan ,Non Bintang,akomodasi Lain,3,Pajeksan GT I/33 RT 32/RW 08,-7.793451093,110.3646137,,,,,,,,,,,,,,,,,,
474,Prima Penginapan,Non Bintang,Pondok Wisata,10,Pringgokusuman GT 2/587 RT 31/RW 08,-7.792261741,110.3587944,,,,,,,,,,,,,,,,,,
475,Wijilan Go Syariah Penginapan,Non Bintang,Pondok Wisata,6,Panembahan No. 60,-7.804600385,110.3662501,,,,,,,,,,,,,,,,,,
476,Perdana Hotel M Hidayat Wisma,Non Bintang,Melati,20,Jl. Jagran Lor No. 19,-7.789594467,110.3610686,,,,,,,,,,,,,,,,,,
477,Permata Hotel,Non Bintang,Melati,16,Jl. Dagen No. 64,-7.79122379,110.3623794,,,,,,,,,,,,,,,,,,
478,Perwitasari Hotel,Non Bintang,Melati,22,Prawirotaman No. 31,-7.819001391,110.3715077,,,,,,,,,,,,,,,,,,
479,Pesona Artha homestay,Non Bintang,Pondok Wisata,1,Jl. Jlagran No. 7,-7.790558278,110.3602899,,,,,,,,,,,,,,,,,,
480,Pesona tugu hotel,Bintang,Bintang Tiga,133,Jl. P. Diponegoro No. 99 bumijo,-7.782931635,110.3631139,,,,,,,,,,,,,,,,,,
481,Pesona Malioboro Hotel,Bintang,Bintang Tiga,141,Jl. Gadean No. 3,-7.797719233,110.363484,,,,,,,,,,,,,,,,,,
482,Peti Mas Hotel,Non Bintang,Melati,45,Jl. Dagen No. 27,-7.793948791,110.3638406,,,,,,,,,,,,,,,,,,
483,Pi Home Mantrijeron,Non Bintang,akomodasi Lain,10,Ngadinegaran MJ III No. 144,-7.81690169,110.3637276,,,,,,,,,,,,,,,,,,
484,Planteres Guest House,Non Bintang,Pondok Wisata,19,Jl. Urip Sumoharjo No. 100 RT 59/RW 15,-7.783163385,110.3858962,,,,,,,,,,,,,,,,,,
485,Pojok Pas Guest House,Non Bintang,akomodasi Lain,4,Prawirotaman M6 III/514 C,-7.817809661,110.3700424,,,,,,,,,,,,,,,,,,
486,Poncowinatan Hotel,Non Bintang,Melati,32,Jl. Poncowinatan No. 3,-7.782202865,110.3664719,,,,,,,,,,,,,,,,,,
487,Pondok 71,Non Bintang,akomodasi Lain,15,Pugeran MJ 11 No 271,-7.813620113,110.3571611,,,,,,,,,,,,,,,,,,
488,Pondok Cokroaminoto,Non Bintang,Akomodasi Lain,14,HOS Cokroaminoto 209 RT 47/RW 04,-7.782123522,110.3521534,,,,,,,,,,,,,,,,,,
