NO,NAMA PENGINAPAN,BINTANG/NON BINTANG,GOLONGAN,JUMLAH KAMAR,ALAMAT,Latitude,Longitude,X,Y,,,,,,,,,,,,,,,,
54,Atiep Siti Losmen,Non Bintang,Pondok Wisata,3,Sosrowijayan GT I/121,-7.79113,110.3641,429887.7371,9138740.194,,,,,,,,,,,,,,,,
55,Aura Hotel,Non Bintang,Akomodasi Lain,19,Sosrowijayan Wetan GT I/118,-7.789447,110.36382,429856.5839,9138926.215,,,,,,,,,,,,,,,,
56,Aveta Malioboro Hotel,Non Bintang,Akomodasi Lain,110,Malioboro No. 42,-7.793713,110.3658,430075.6096,9138454.907,,,,,,,,,,,,,,,,
57,Ayaartta Hotel,Bintang,Bintang Empat,71,Jl. KH Ahmad Dahlan No. 123,-7.801404,110.35693,429098.8936,9137603.133,,,,,,,,,,,,,,,,
58,Ayodya Garden Hostel,Non Bintang,Akomodasi Lain,4,Timuran No. 83,-7.817335,110.36854,430381.6322,9135843.781,,,,,,,,,,,,,,,,
59,Ayu Asha Penginapan,Non Bintang,Melati,9,Sosrokusuman DN I/171,-7.794021,110.3672,430230.0251,9138421.087,,,,,,,,,,,,,,,,
60,Bakti Hotel,Non Bintang,Melati,19,Jl. Hayam Wuruk 13,-7.794861,110.37239,430802.4138,9138329.073,,,,,,,,,,,,,,,,
61,Balai Latihan Ketrampilan Pay Aisyiyah,Non Bintang,Melati,25,Jl. Agus Salim No. 63,-7.804103,110.35688,429093.8355,9137304.731,,,,,,,,,,,,,,,,
62,Bali Omah Guest House,Non Bintang,Pondok Wisata,5,Jl. Kompol Bambang Suprapto No. 18,-7.790773,110.3841,432092.8981,9138782.929,,,,,,,,,,,,,,,,
63,Banana Homestay,Non Bintang,Akomodasi Lain,6,Gondomanan II No. 337,-7.805218,110.37052,430597.935,9137183.728,,,,,,,,,,,,,,,,
64,Barbados Homestay,Non Bintang,Pondok Wisata,3,Perumahan Griya Asri No. 18A,-7.820013,110.35661,429066.7507,9135545.718,,,,,,,,,,,,,,,,
65,Batik Palace Yogyakarta,Bintang,Bintang Satu,40,Jl. Dagen Komplek Taman Yuwono,-7.792061,110.36511,429999.2554,9138637.433,,,,,,,,,,,,,,,,
66,Bejo Nrimo Homestay,Non Bintang,Akomodasi Lain,7,Gowongan Lor No. 15,-7.785387,110.36576,430069.8181,9139375.398,,,,,,,,,,,,,,,,
67,Bener Hotel,Non Bintang,Melati,51,Jl. Bener No.9,-7.78011,110.35157,428504.2955,9139956.436,,,,,,,,,,,,,,,,
68,Bening Hotel,Non Bintang,Melati,2,Jl. Hos Cokroaminoto No. 98 Sudagaran TR 3/895,-7.79224,110.35381,428753.3366,9138615.755,,,,,,,,,,,,,,,,
69,Berlian Palace Hotel,Non Bintang,Melati,18,Jl. Pasar Kembang No. 61,-7.789972,110.36274,429737.5889,9138867.993,,,,,,,,,,,,,,,,
70,Best City Hotel,Bintang,Bintang Tiga,84,Jl. Tentara Pelajar No. 44,-7.783216,110.36097,429541.2974,9139614.622,,,,,,,,,,,,,,,,
71,Beta Losmen,Non Bintang,Melati,6,Sosrowijayan Wetan Gg. 1 GT I/67,-7.790655,110.36501,429987.9958,9138792.86,,,,,,,,,,,,,,,,
72,Betty Losmen,Non Bintang,Melati,8,Sosrowijayan Wetan GT II/175,-7.790672,110.36382,429856.7877,9138790.783,,,,,,,,,,,,,,,,
